"grp","vcov","sdcor","Percent","Rmse","Heritability","R_squared","Env"
"Residual",1.94225707093803,1.39364883343618,34.14,1.09889242478453,0.691,0.658638265663736,"TXH1.2020"
"Pedigree",1.04310932115331,1.02132723509819,15.95,1.44554007406426,0.422,0.563864848568568,"TXH2.2020"
"Pass",0.968657501824647,0.984203994009701,14.81,1.44554007406426,0.422,0.563864848568568,"TXH2.2020"
"Range",1.67613999923194,1.29465825576943,25.63,1.44554007406426,0.422,0.563864848568568,"TXH2.2020"
"Replicate",0,0,0,1.44554007406426,0.422,0.563864848568568,"TXH2.2020"
"Residual",2.8525023406809,1.68893526835131,43.61,1.44554007406426,0.422,0.563864848568568,"TXH2.2020"
"Pedigree",0.30540840810884,0.552637682490834,6.18,1.67171296553219,0.158,0.340590626014609,"TXH3.2020"
"Pass",0.785411759882986,0.886234596415072,15.88,1.67171296553219,0.158,0.340590626014609,"TXH3.2020"
"Range",0.296138617604299,0.544186197550342,5.99,1.67171296553219,0.158,0.340590626014609,"TXH3.2020"
"Replicate",0.297132903307047,0.545098984870681,6.01,1.67171296553219,0.158,0.340590626014609,"TXH3.2020"
"Residual",3.26052968429615,1.80569368506847,65.94,1.67171296553219,0.158,0.340590626014609,"TXH3.2020"
"Pedigree",2.10015683321553,1.44919178620897,32.21,1.28484673019997,0.601,0.571762444581207,"WIH1.2020"
"Range",0.138407247883011,0.37203124584235,2.12,1.28484673019997,0.601,0.571762444581207,"WIH1.2020"
"Pass",0.570723997857825,0.755462770663006,8.75,1.28484673019997,0.601,0.571762444581207,"WIH1.2020"
"Replicate",0.91927735010321,0.958789523359121,14.1,1.28484673019997,0.601,0.571762444581207,"WIH1.2020"
"Residual",2.79261389007287,1.67111157319698,42.82,1.28484673019997,0.601,0.571762444581207,"WIH1.2020"
"Pedigree",3.34258335766372,1.82827332684796,35.07,1.87033927522499,0.556,0.440425598105762,"WIH2.2020"
"Pass",0.660863901556271,0.812935361241145,6.93,1.87033927522499,0.556,0.440425598105762,"WIH2.2020"
"Range",0.194469693788002,0.440987180979223,2.04,1.87033927522499,0.556,0.440425598105762,"WIH2.2020"
"Replicate",0,0,0,1.87033927522499,0.556,0.440425598105762,"WIH2.2020"
"Residual",5.33358387497051,2.3094553199771,55.96,1.87033927522499,0.556,0.440425598105762,"WIH2.2020"
"Pedigree",2.24720828260291,1.49906913870005,30.22,1.88778416594694,0.475,0.332317397968921,"WIH3.2020"
"Pass",0.176492279839046,0.420109842587681,2.37,1.88778416594694,0.475,0.332317397968921,"WIH3.2020"
"Range",0.0477715346092532,0.218567002562723,0.64,1.88778416594694,0.475,0.332317397968921,"WIH3.2020"
"Replicate",1.83045914776389e-09,4.27838655075005e-05,0,1.88778416594694,0.475,0.332317397968921,"WIH3.2020"
"Residual",4.96561098490199,2.22836509237198,66.77,1.88778416594694,0.475,0.332317397968921,"WIH3.2020"
"Pedigree",1.92623003645775,1.38788689613302,31.81,0.848293269535674,0.728,0.762867620484783,"MNH1.2021"
"Pass",0.0873699832800266,0.295584139087378,1.44,0.848293269535674,0.728,0.762867620484783,"MNH1.2021"
"Range",1.57570329030434,1.25527020609283,26.02,0.848293269535674,0.728,0.762867620484783,"MNH1.2021"
"Replicate",1.03003557292441,1.01490668187987,17.01,0.848293269535674,0.728,0.762867620484783,"MNH1.2021"
"Residual",1.43589109262355,1.19828673222378,23.71,0.848293269535674,0.728,0.762867620484783,"MNH1.2021"
"Pedigree",8.40822888890546,2.89969461993939,62.63,1.66270565774691,0.788,0.66225083022038,"NEH1.2021"
"Range",2.42793813629299e-09,4.92741122324187e-05,0,1.66270565774691,0.788,0.66225083022038,"NEH1.2021"
"Pass",0.463161280314765,0.680559534732095,3.45,1.66270565774691,0.788,0.66225083022038,"NEH1.2021"
"Replicate",0.0198580755509045,0.140918684179581,0.15,1.66270565774691,0.788,0.66225083022038,"NEH1.2021"
