grp,vcov,sdcor,Percent,Rmse,Heritability,R_squared,Env.DAP,Vegetation.Index,DAP,Year,Env
Pedigree,4.27283863661903e-05,0.00653669537045978,0.58,0.0259567996279798,0.1,0.895754405302201,TXH3.2020.10,GdivB,10,2020,TXH3.2020
Pass,0.000313595783459516,0.0177086358441162,4.24,0.0259567996279798,0.1,0.895754405302201,TXH3.2020.10,GdivB,10,2020,TXH3.2020
Range,0.00625541224586212,0.0790911641453211,84.49,0.0259567996279798,0.1,0.895754405302201,TXH3.2020.10,GdivB,10,2020,TXH3.2020
Replicate,2.02994476383508e-05,0.00450549083212371,0.27,0.0259567996279798,0.1,0.895754405302201,TXH3.2020.10,GdivB,10,2020,TXH3.2020
Residual,0.00077181928276013,0.0277816357106656,10.42,0.0259567996279798,0.1,0.895754405302201,TXH3.2020.10,GdivB,10,2020,TXH3.2020
Pedigree,2.49052357886214e-05,0.00499051458154581,8.7,0.0133390875128088,0.193,0.270523069409654,TXH3.2020.10,GdivR,10,2020,TXH3.2020
Pass,2.21776851624237e-05,0.00470931897012973,7.74,0.0133390875128088,0.193,0.270523069409654,TXH3.2020.10,GdivR,10,2020,TXH3.2020
Range,3.03914650791815e-05,0.0055128454612098,10.61,0.0133390875128088,0.193,0.270523069409654,TXH3.2020.10,GdivR,10,2020,TXH3.2020
Replicate,0,0,0,0.0133390875128088,0.193,0.270523069409654,TXH3.2020.10,GdivR,10,2020,TXH3.2020
Residual,0.00020891296791816,0.0144538219138801,72.95,0.0133390875128088,0.193,0.270523069409654,TXH3.2020.10,GdivR,10,2020,TXH3.2020
Pedigree,1.21271961296391e-06,0.00110123549387218,2.16,0.00313757098445153,0.172,0.791535367094118,TXH3.2020.10,GCC,10,2020,TXH3.2020
Pass,4.28334241929268e-06,0.00206962373857972,7.64,0.00313757098445153,0.172,0.791535367094118,TXH3.2020.10,GCC,10,2020,TXH3.2020
Range,3.88552301984698e-05,0.00623339636141243,69.34,0.00313757098445153,0.172,0.791535367094118,TXH3.2020.10,GCC,10,2020,TXH3.2020
Replicate,0,0,0,0.00313757098445153,0.172,0.791535367094118,TXH3.2020.10,GCC,10,2020,TXH3.2020
Residual,1.16806857130372e-05,0.00341770181745529,20.85,0.00313757098445153,0.172,0.791535367094118,TXH3.2020.10,GCC,10,2020,TXH3.2020
Pedigree,1.0525926516411e-05,0.00324436843105265,9.49,0.00787910798302103,0.22,0.325648955444447,TXH3.2020.10,MExG,10,2020,TXH3.2020
Pass,1.86011588064554e-05,0.00431290607438365,16.78,0.00787910798302103,0.22,0.325648955444447,TXH3.2020.10,MExG,10,2020,TXH3.2020
Range,6.87560871919411e-06,0.00262213819605186,6.2,0.00787910798302103,0.22,0.325648955444447,TXH3.2020.10,MExG,10,2020,TXH3.2020
Replicate,1.02965794477327e-07,0.000320882836059093,0.09,0.00787910798302103,0.22,0.325648955444447,TXH3.2020.10,MExG,10,2020,TXH3.2020
Residual,7.47672885727722e-05,0.0086468079990695,67.44,0.00787910798302103,0.22,0.325648955444447,TXH3.2020.10,MExG,10,2020,TXH3.2020
Pedigree,1.95710914202011e-05,0.00442392262818882,8.97,0.0115227984971297,0.2,0.281791888877841,TXH3.2020.10,MGVRI,10,2020,TXH3.2020
Pass,1.8460320943023e-05,0.00429654756089386,8.46,0.0115227984971297,0.2,0.281791888877841,TXH3.2020.10,MGVRI,10,2020,TXH3.2020
Range,2.347929764939e-05,0.00484554410251212,10.76,0.0115227984971297,0.2,0.281791888877841,TXH3.2020.10,MGVRI,10,2020,TXH3.2020
Replicate,6.35376839207751e-14,2.52066824316043e-07,0,0.0115227984971297,0.2,0.281791888877841,TXH3.2020.10,MGVRI,10,2020,TXH3.2020
Residual,0.000156773465245932,0.0125209211021367,71.82,0.0115227984971297,0.2,0.281791888877841,TXH3.2020.10,MGVRI,10,2020,TXH3.2020
Pedigree,0.0819302550435298,0.286234615383133,8.92,0.748948864384491,0.198,0.279838238054225,TXH3.2020.10,NDI,10,2020,TXH3.2020
Pass,0.0767331678046786,0.27700752301098,8.35,0.748948864384491,0.198,0.279838238054225,TXH3.2020.10,NDI,10,2020,TXH3.2020
Range,0.0984490649987425,0.313765939832134,10.72,0.748948864384491,0.198,0.279838238054225,TXH3.2020.10,NDI,10,2020,TXH3.2020
Replicate,0,0,0,0.748948864384491,0.198,0.279838238054225,TXH3.2020.10,NDI,10,2020,TXH3.2020
Residual,0.661677201634761,0.813435431755196,72.02,0.748948864384491,0.198,0.279838238054225,TXH3.2020.10,NDI,10,2020,TXH3.2020
Pedigree,4.12619847624203e-06,0.00203130462418664,0.3,0.00965503404371052,0.073,0.922829531967043,TXH3.2020.10,NDRBI,10,2020,TXH3.2020
Pass,3.33808664412122e-05,0.00577761771331508,2.45,0.00965503404371052,0.073,0.922829531967043,TXH3.2020.10,NDRBI,10,2020,TXH3.2020
Range,0.00120145694978378,0.0346620390309598,88.17,0.00965503404371052,0.073,0.922829531967043,TXH3.2020.10,NDRBI,10,2020,TXH3.2020
Replicate,1.85697513623627e-05,0.00430926343617592,1.36,0.00965503404371052,0.073,0.922829531967043,TXH3.2020.10,NDRBI,10,2020,TXH3.2020
Residual,0.000105159691939551,0.0102547399742534,7.72,0.00965503404371052,0.073,0.922829531967043,TXH3.2020.10,NDRBI,10,2020,TXH3.2020
Pedigree,7.61948329724869e-06,0.00276034115595313,0.64,0.0104496864825297,0.108,0.895066532120826,TXH3.2020.10,NGBDI,10,2020,TXH3.2020
Pass,5.50663477271483e-05,0.0074206703017415,4.6,0.0104496864825297,0.108,0.895066532120826,TXH3.2020.10,NGBDI,10,2020,TXH3.2020
Range,0.00100531534315135,0.0317067081727408,83.91,0.0104496864825297,0.108,0.895066532120826,TXH3.2020.10,NGBDI,10,2020,TXH3.2020
Replicate,4.4287221164556e-06,0.00210445292569247,0.37,0.0104496864825297,0.108,0.895066532120826,TXH3.2020.10,NGBDI,10,2020,TXH3.2020
Residual,0.000125726729842751,0.0112127931329688,10.49,0.0104496864825297,0.108,0.895066532120826,TXH3.2020.10,NGBDI,10,2020,TXH3.2020
Pedigree,7.2509780121148e-06,0.00269276400973327,0.63,0.0102056986689196,0.108,0.896496452387666,TXH3.2020.10,RminusB,10,2020,TXH3.2020
Pass,3.1249768679708e-05,0.00559014925379529,2.71,0.0102056986689196,0.108,0.896496452387666,TXH3.2020.10,RminusB,10,2020,TXH3.2020
Range,0.000979307285533234,0.0312938857531824,84.92,0.0102056986689196,0.108,0.896496452387666,TXH3.2020.10,RminusB,10,2020,TXH3.2020
Replicate,1.60264798745137e-05,0.00400330861594678,1.39,0.0102056986689196,0.108,0.896496452387666,TXH3.2020.10,RminusB,10,2020,TXH3.2020
