"Domain","Vegetation.Index","FPC","FPC_ID","N","N_complete","Cor","Status"
"AGDD","BGI_new","FPC5","FPC5_BGI_new",10109,10109,0.0821443693612737,"ok"
"AGDD","BGI_new","FPC6","FPC6_BGI_new",10109,10109,-0.183188505585506,"ok"
"AGDD","BGI_new","FPC7","FPC7_BGI_new",10109,10109,-0.0652024815672784,"ok"
"AGDD","BI","FPC1","FPC1_BI",10109,10109,-0.0696949570702713,"ok"
"AGDD","BI","FPC2","FPC2_BI",10109,10109,-0.0641482545493488,"ok"
"AGDD","BI","FPC3","FPC3_BI",10109,10109,0.0519691543396481,"ok"
"AGDD","BI","FPC4","FPC4_BI",10109,10109,0.0299396180962406,"ok"
"AGDD","BI","FPC5","FPC5_BI",10109,10109,-0.0149423291290756,"ok"
"AGDD","BI","FPC6","FPC6_BI",10109,10109,0.0270993325314587,"ok"
"AGDD","BI","FPC7","FPC7_BI",10109,10109,-0.0101619948511085,"ok"
"AGDD","BI_new","FPC1","FPC1_BI_new",10109,10109,-0.443300657605507,"ok"
"AGDD","BI_new","FPC2","FPC2_BI_new",10109,10109,-0.231405117563629,"ok"
"AGDD","BI_new","FPC3","FPC3_BI_new",10109,10109,-0.0440508837163812,"ok"
"AGDD","BI_new","FPC4","FPC4_BI_new",10109,10109,-0.0831340530559454,"ok"
"AGDD","BI_new","FPC5","FPC5_BI_new",10109,10109,0.182419848087863,"ok"
"AGDD","BI_new","FPC6","FPC6_BI_new",10109,10109,0.128789572903326,"ok"
"AGDD","BI_new","FPC7","FPC7_BI_new",10109,10109,-0.133985863757473,"ok"
"AGDD","CIVE","FPC1","FPC1_CIVE",10109,10109,0.297662703837485,"ok"
"AGDD","CIVE","FPC2","FPC2_CIVE",10109,10109,0.427036776764197,"ok"
"AGDD","CIVE","FPC3","FPC3_CIVE",10109,10109,0.410443343507886,"ok"
"AGDD","CIVE","FPC4","FPC4_CIVE",10109,10109,0.376052275552284,"ok"
"AGDD","CIVE","FPC5","FPC5_CIVE",10109,10109,0.104813660163633,"ok"
"AGDD","CIVE","FPC6","FPC6_CIVE",10109,10109,-0.0244763937891249,"ok"
"AGDD","CIVE","FPC7","FPC7_CIVE",10109,10109,0.0817744872077169,"ok"
"AGDD","COM1","FPC1","FPC1_COM1",10109,10109,-0.342713721255355,"ok"
"AGDD","COM1","FPC2","FPC2_COM1",10109,10109,0.113210356435597,"ok"
"AGDD","COM1","FPC3","FPC3_COM1",10109,10109,0.235755109672286,"ok"
"AGDD","COM1","FPC4","FPC4_COM1",10109,10109,-0.141969517171379,"ok"
"AGDD","COM1","FPC5","FPC5_COM1",10109,10109,0.311737799215976,"ok"
"AGDD","COM1","FPC6","FPC6_COM1",10109,10109,0.53944110930999,"ok"
"AGDD","COM1","FPC7","FPC7_COM1",10109,10109,-0.106645336147274,"ok"
"AGDD","COM2","FPC1","FPC1_COM2",10109,10109,-0.406646479202236,"ok"
"AGDD","COM2","FPC2","FPC2_COM2",10109,10109,0.377782855574942,"ok"
"AGDD","COM2","FPC3","FPC3_COM2",10109,10109,0.330318334404464,"ok"
"AGDD","COM2","FPC4","FPC4_COM2",10109,10109,-0.0464530092885577,"ok"
"AGDD","COM2","FPC5","FPC5_COM2",10109,10109,0.341444559826569,"ok"
"AGDD","COM2","FPC6","FPC6_COM2",10109,10109,0.0635165792809393,"ok"
"AGDD","COM2","FPC7","FPC7_COM2",10109,10109,0.231316926435697,"ok"
"AGDD","EXR","FPC1","FPC1_EXR",10109,10109,-0.36412952340549,"ok"
"AGDD","EXR","FPC2","FPC2_EXR",10109,10109,-0.102116662534276,"ok"
"AGDD","EXR","FPC3","FPC3_EXR",10109,10109,0.295629000587731,"ok"
"AGDD","EXR","FPC4","FPC4_EXR",10109,10109,-0.227540433640004,"ok"
"AGDD","EXR","FPC5","FPC5_EXR",10109,10109,-0.115345409536631,"ok"
"AGDD","EXR","FPC6","FPC6_EXR",10109,10109,-0.0560156976128459,"ok"
"AGDD","EXR","FPC7","FPC7_EXR",10109,10109,0.336599935302377,"ok"
"AGDD","ExG","FPC1","FPC1_ExG",10109,10109,-0.339829096478255,"ok"
"AGDD","ExG","FPC2","FPC2_ExG",10109,10109,-0.465673598551556,"ok"
"AGDD","ExG","FPC3","FPC3_ExG",10109,10109,-0.42035367195979,"ok"
"AGDD","ExG","FPC4","FPC4_ExG",10109,10109,-0.357095985435056,"ok"
"AGDD","ExG","FPC5","FPC5_ExG",10109,10109,-0.0019416862621499,"ok"
"AGDD","ExG","FPC6","FPC6_ExG",10109,10109,0.0589963407949369,"ok"
"AGDD","ExG","FPC7","FPC7_ExG",10109,10109,-0.245140183820925,"ok"
"AGDD","ExG2","FPC1","FPC1_ExG2",10109,10109,-0.491328731305834,"ok"
"AGDD","ExG2","FPC2","FPC2_ExG2",10109,10109,0.42312056745396,"ok"
"AGDD","ExG2","FPC3","FPC3_ExG2",10109,10109,0.41173272326802,"ok"
"AGDD","ExG2","FPC4","FPC4_ExG2",10109,10109,0.283332374142607,"ok"
"AGDD","ExG2","FPC5","FPC5_ExG2",10109,10109,-0.169125297639094,"ok"
"AGDD","ExG2","FPC6","FPC6_ExG2",10109,10109,0.417694160979467,"ok"
"AGDD","ExG2","FPC7","FPC7_ExG2",10109,10109,-0.188226965577371,"ok"
"AGDD","ExGR","FPC1","FPC1_ExGR",10109,10109,0.251267482830308,"ok"
"AGDD","ExGR","FPC2","FPC2_ExGR",10109,10109,-0.401041137885621,"ok"
"AGDD","ExGR","FPC3","FPC3_ExGR",10109,10109,0.17417068203735,"ok"
"AGDD","ExGR","FPC4","FPC4_ExGR",10109,10109,0.109427801216667,"ok"
"AGDD","ExGR","FPC5","FPC5_ExGR",10109,10109,-0.0149180426194673,"ok"
"AGDD","ExGR","FPC6","FPC6_ExGR",10109,10109,0.108973179545206,"ok"
"AGDD","ExGR","FPC7","FPC7_ExGR",10109,10109,0.537318137724329,"ok"
"AGDD","GCC","FPC1","FPC1_GCC",10109,10109,-0.491328362058588,"ok"
"AGDD","GCC","FPC2","FPC2_GCC",10109,10109,0.423120733598408,"ok"
"AGDD","GCC","FPC3","FPC3_GCC",10109,10109,0.411732700967112,"ok"
"AGDD","GCC","FPC4","FPC4_GCC",10109,10109,0.283332544653259,"ok"
"AGDD","GCC","FPC5","FPC5_GCC",10109,10109,-0.169125191012498,"ok"
"AGDD","GCC","FPC6","FPC6_GCC",10109,10109,-0.417694189771751,"ok"
"AGDD","GCC","FPC7","FPC7_GCC",10109,10109,0.188227069847204,"ok"
"AGDD","GLI","FPC1","FPC1_GLI",10109,10109,-0.469158162558339,"ok"
"AGDD","GLI","FPC2","FPC2_GLI",10109,10109,0.386204796173301,"ok"
"AGDD","GLI","FPC3","FPC3_GLI",10109,10109,0.402904144109045,"ok"
"AGDD","GLI","FPC4","FPC4_GLI",10109,10109,0.276773532995884,"ok"
"AGDD","GLI","FPC5","FPC5_GLI",10109,10109,-0.1475941364415,"ok"
"AGDD","GLI","FPC6","FPC6_GLI",10109,10109,0.416450509727945,"ok"
"AGDD","GLI","FPC7","FPC7_GLI",10109,10109,-0.183207548349952,"ok"
"AGDD","GLI_new","FPC1","FPC1_GLI_new",10109,10109,-0.469158183085372,"ok"
"AGDD","GLI_new","FPC2","FPC2_GLI_new",10109,10109,0.386204793081369,"ok"
