"Domain","Vegetation.Index","FPC","FPC_ID","Env","N","N_complete","Cor","Status"
"DAP","BGI","FPC2","FPC2_BGI","WIH3.2020",415,415,0.0308315205145099,"ok"
"DAP","BGI","FPC2","FPC2_BGI","WIH3.2021",397,397,-0.196979522870814,"ok"
"DAP","BGI","FPC3","FPC3_BGI","DEH1.2020",1142,1142,-0.0266469383917069,"ok"
"DAP","BGI","FPC3","FPC3_BGI","IAH4.2021",1128,1128,-0.10783189472411,"ok"
"DAP","BGI","FPC3","FPC3_BGI","MIH1.2020",414,414,0.0142265982822528,"ok"
"DAP","BGI","FPC3","FPC3_BGI","MNH1.2020",395,395,0.253460473502584,"ok"
"DAP","BGI","FPC3","FPC3_BGI","MNH1.2021",415,415,0.0182720899770918,"ok"
"DAP","BGI","FPC3","FPC3_BGI","MOH1.2020",1006,1006,0.0649647052828285,"ok"
"DAP","BGI","FPC3","FPC3_BGI","NEH1.2021",246,246,-0.0219990308054673,"ok"
"DAP","BGI","FPC3","FPC3_BGI","TXH1.2020",246,246,-0.0207214839919785,"ok"
"DAP","BGI","FPC3","FPC3_BGI","TXH1.2021",246,246,-0.2683670710593,"ok"
"DAP","BGI","FPC3","FPC3_BGI","TXH2.2020",246,246,-0.112495117719809,"ok"
"DAP","BGI","FPC3","FPC3_BGI","TXH2.2021",246,246,0.256269246335188,"ok"
"DAP","BGI","FPC3","FPC3_BGI","TXH3.2020",266,266,-0.179605316589831,"ok"
"DAP","BGI","FPC3","FPC3_BGI","TXH3.2021",245,245,-0.383042727299221,"ok"
"DAP","BGI","FPC3","FPC3_BGI","WIH1.2020",394,394,-0.169270540625511,"ok"
"DAP","BGI","FPC3","FPC3_BGI","WIH1.2021",398,398,-0.0288681223956202,"ok"
"DAP","BGI","FPC3","FPC3_BGI","WIH2.2020",1127,1127,-0.0106911260004678,"ok"
"DAP","BGI","FPC3","FPC3_BGI","WIH2.2021",1137,1137,-0.0497393302493953,"ok"
"DAP","BGI","FPC3","FPC3_BGI","WIH3.2020",415,415,-0.00818828246562367,"ok"
"DAP","BGI","FPC3","FPC3_BGI","WIH3.2021",397,397,-0.0181889149953916,"ok"
"DAP","BGI","FPC4","FPC4_BGI","DEH1.2020",1142,1142,-0.023593803857021,"ok"
"DAP","BGI","FPC4","FPC4_BGI","IAH4.2021",1128,1128,0.105011844088739,"ok"
"DAP","BGI","FPC4","FPC4_BGI","MIH1.2020",414,414,0.0414862677872294,"ok"
"DAP","BGI","FPC4","FPC4_BGI","MNH1.2020",395,395,-0.105112744987317,"ok"
"DAP","BGI","FPC4","FPC4_BGI","MNH1.2021",415,415,-0.0707033123991717,"ok"
"DAP","BGI","FPC4","FPC4_BGI","MOH1.2020",1006,1006,-0.0630664940048097,"ok"
"DAP","BGI","FPC4","FPC4_BGI","NEH1.2021",246,246,-0.025138090151625,"ok"
"DAP","BGI","FPC4","FPC4_BGI","TXH1.2020",246,246,0.0213005056944378,"ok"
"DAP","BGI","FPC4","FPC4_BGI","TXH1.2021",246,246,0.146138101434396,"ok"
"DAP","BGI","FPC4","FPC4_BGI","TXH2.2020",246,246,-0.145575011215511,"ok"
"DAP","BGI","FPC4","FPC4_BGI","TXH2.2021",246,246,-0.199916857831249,"ok"
"DAP","BGI","FPC4","FPC4_BGI","TXH3.2020",266,266,-0.170929806603525,"ok"
"DAP","BGI","FPC4","FPC4_BGI","TXH3.2021",245,245,-0.122106461484145,"ok"
"DAP","BGI","FPC4","FPC4_BGI","WIH1.2020",394,394,0.12001703156767,"ok"
"DAP","BGI","FPC4","FPC4_BGI","WIH1.2021",398,398,-0.0515348371634462,"ok"
"DAP","BGI","FPC4","FPC4_BGI","WIH2.2020",1127,1127,-0.0193108450056229,"ok"
"DAP","BGI","FPC4","FPC4_BGI","WIH2.2021",1137,1137,0.0320136749659404,"ok"
"DAP","BGI","FPC4","FPC4_BGI","WIH3.2020",415,415,0.0365352115686937,"ok"
"DAP","BGI","FPC4","FPC4_BGI","WIH3.2021",397,397,0.00411860071991651,"ok"
"DAP","BGI","FPC5","FPC5_BGI","DEH1.2020",1142,1142,-0.190149264858032,"ok"
"DAP","BGI","FPC5","FPC5_BGI","IAH4.2021",1128,1128,-0.00951312979929438,"ok"
"DAP","BGI","FPC5","FPC5_BGI","MIH1.2020",414,414,0.0270710324666133,"ok"
"DAP","BGI","FPC5","FPC5_BGI","MNH1.2020",395,395,-0.0164846913715902,"ok"
"DAP","BGI","FPC5","FPC5_BGI","MNH1.2021",415,415,-0.0644299694468122,"ok"
"DAP","BGI","FPC5","FPC5_BGI","MOH1.2020",1006,1006,0.144405019041865,"ok"
"DAP","BGI","FPC5","FPC5_BGI","NEH1.2021",246,246,0.0607436590929045,"ok"
"DAP","BGI","FPC5","FPC5_BGI","TXH1.2020",246,246,0.0631007245139982,"ok"
"DAP","BGI","FPC5","FPC5_BGI","TXH1.2021",246,246,-0.201990586614426,"ok"
"DAP","BGI","FPC5","FPC5_BGI","TXH2.2020",246,246,-0.138530813241144,"ok"
"DAP","BGI","FPC5","FPC5_BGI","TXH2.2021",246,246,0.368554122783019,"ok"
"DAP","BGI","FPC5","FPC5_BGI","TXH3.2020",266,266,-0.119062414940773,"ok"
"DAP","BGI","FPC5","FPC5_BGI","TXH3.2021",245,245,-0.36037245985962,"ok"
