Domain,CV,Environment,Mean_Scored_N,Kernel_r,TNP_r,Kernel_RMSE,TNP_RMSE,Correlation_Difference,RMSE_Difference
AGDD,CV0,WIH3.2020,187.2,0.253067691294884,0.311815645479901,2.42256119168179,2.36383878182482,0.0587479541850174,-0.0587224098569653
DAP,CV0,WIH3.2021,186.4,0.551596456306468,0.474794083630143,1.5550157507656,1.86373221226507,-0.0768023726763256,0.308716461499474
AGDD,CV0,WIH3.2021,186.4,0.582972562788401,0.474794083630143,1.55045216022576,1.86373221226507,-0.108178479158258,0.313280052039309
DAP,CV00,DEH1.2020,131,0.690397668586192,0.352839700727774,1.92849493447343,2.4230231968586,-0.337557967858418,0.494528262385169
AGDD,CV00,DEH1.2020,131,0.677078908514064,0.352839700727774,1.76466243124151,2.4230231968586,-0.324239207786289,0.658360765617096
DAP,CV00,IAH4.2021,129,0.508496541051515,0.420484059431729,1.60983252927379,1.62893877531894,-0.0880124816197867,0.0191062460451519
AGDD,CV00,IAH4.2021,129,0.436994010426049,0.420484059431729,1.55587156617393,1.62893877531894,-0.0165099509943208,0.0730672091450127
DAP,CV00,MIH1.2020,46.8,0.482721659822575,0.284945108415058,3.26109808632321,1.6457587377134,-0.197776551407516,-1.61533934860981
AGDD,CV00,MIH1.2020,46.8,0.4062363814284,0.284945108415058,3.34550934085994,1.6457587377134,-0.121291273013342,-1.69975060314655
DAP,CV00,MNH1.2020,46.2,0.445587114926373,0.109906062535873,2.5882290757407,2.16808580964463,-0.335681052390501,-0.420143266096069
AGDD,CV00,MNH1.2020,46.2,0.496677210136218,0.109906062535873,1.69006980071637,2.16808580964463,-0.386771147600345,0.478016008928258
DAP,CV00,MNH1.2021,47.2,0.36671471374659,0.385355854528434,1.80313233997351,1.69331391428787,0.0186411407818444,-0.109818425685638
AGDD,CV00,MNH1.2021,47.2,0.37697739869207,0.385355854528434,1.72879835815187,1.69331391428787,0.00837845583636429,-0.0354844438640018
DAP,CV00,MOH1.2020,115,0.215274503175267,0.140933354608885,2.23015109419605,4.2881791646144,-0.0743411485663826,2.05802807041835
AGDD,CV00,MOH1.2020,115,0.252039078695166,0.140933354608885,1.98689063419355,4.2881791646144,-0.111105724086281,2.30128853042085
DAP,CV00,NEH1.2021,46.6,0.306360760924046,0.339287748936323,2.97749375158127,3.43928315822385,0.0329269880122774,0.461789406642575
AGDD,CV00,NEH1.2021,46.6,0.422196013711464,0.339287748936323,2.86142138204253,3.43928315822385,-0.0829082647751405,0.577861776181321
DAP,CV00,TXH1.2020,46.6,0.685711316967817,0.575321979452037,1.29325517375621,1.72382404538732,-0.11038933751578,0.430568871631107
AGDD,CV00,TXH1.2020,46.6,0.712335267312663,0.575321979452037,1.55191973979869,1.72382404538732,-0.137013287860626,0.171904305588624
DAP,CV00,TXH1.2021,46.6,0.0241284269032359,0.145429250430213,2.88352160835829,1.64358765933343,0.121300823526977,-1.23993394902486
AGDD,CV00,TXH1.2021,46.6,0.085790543387292,0.145429250430213,2.010665545699,1.64358765933343,0.0596387070429214,-0.36707788636557
DAP,CV00,TXH2.2020,46.6,0.438064669558851,0.424065442542344,1.90905172911059,1.66739032556757,-0.013999227016507,-0.241661403543015
AGDD,CV00,TXH2.2020,46.6,0.478594693902908,0.424065442542344,1.55847140296879,1.66739032556757,-0.0545292513605642,0.108918922598777
DAP,CV00,TXH2.2021,46.6,0.241990444874283,0.0103581628674087,2.82828326728706,2.0469706657861,-0.231632282006874,-0.781312601500953
AGDD,CV00,TXH2.2021,46.6,0.200074523750039,0.0103581628674087,1.99085268373668,2.0469706657861,-0.18971636088263,0.0561179820494255
DAP,CV00,TXH3.2020,47.2,-0.0538595885777081,-0.00498390759042465,1.63497908865053,2.74960895252449,0.0488756809872834,1.11462986387396
AGDD,CV00,TXH3.2020,47.2,-0.0624362034194925,-0.00498390759042465,1.70293287856882,2.74960895252449,0.0574522958290679,1.04667607395567
DAP,CV00,TXH3.2021,46.6,0.366532294814324,0.367801558529215,4.52301731583971,3.72818927275523,0.00126926371489072,-0.794828043084478
AGDD,CV00,TXH3.2021,46.6,0.454596944344774,0.367801558529215,4.91370621694546,3.72818927275523,-0.0867953858155595,-1.18551694419024
DAP,CV00,WIH1.2020,46.2,0.434577662099359,0.509409054357513,1.92581748193721,1.95553256495908,0.0748313922581542,0.029715083021863
AGDD,CV00,WIH1.2020,46.2,0.473054774693049,0.509409054357513,1.84048945710316,1.95553256495908,0.0363542796644642,0.115043107855917
DAP,CV00,WIH1.2021,46.6,0.342256396162874,0.399951693997386,3.54368429969871,2.48186768964719,0.0576952978345124,-1.06181661005151
AGDD,CV00,WIH1.2021,46.6,0.338897133255727,0.399951693997386,3.39046156912887,2.48186768964719,0.0610545607416597,-0.90859387948168
DAP,CV00,WIH2.2020,130.6,0.124015465249416,0.297742341330519,2.85858599662621,2.83494480531495,0.173726876081103,-0.0236411913112615
AGDD,CV00,WIH2.2020,130.6,-0.0561430233875232,0.297742341330519,5.09636519603045,2.83494480531495,0.353885364718042,-2.2614203907155
DAP,CV00,WIH2.2021,131,0.362890172160942,0.271834340767108,3.501388846131,2.44653714207205,-0.0910558313938335,-1.05485170405895
AGDD,CV00,WIH2.2021,131,0.375480533096391,0.271834340767108,3.02632331323819,2.44653714207205,-0.103646192329283,-0.579786171166139
DAP,CV00,WIH3.2020,46.8,0.0906313807439081,0.253152618130458,2.49047555943402,2.41760701761504,0.16252123738655,-0.0728685418189855
AGDD,CV00,WIH3.2020,46.8,0.187652087445937,0.253152618130458,2.46127679776296,2.41760701761504,0.0655005306845211,-0.0436697801479183
DAP,CV00,WIH3.2021,46.6,0.487089380768282,0.391986411993753,1.60454333203238,1.91904696786423,-0.095102968774529,0.31450363583185
AGDD,CV00,WIH3.2021,46.6,0.520891745112669,0.391986411993753,1.60145183746447,1.91904696786423,-0.128905333118916,0.317595130399762
