Method,Model,Time_Domain,Series,CV,Seed,Fold,N,Environments,Correlation,RMSE,Equal_Environment_RMSE
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,5,5,5201,19,0.404702547585544,2.78223948552021,2.41016951496653
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,5,5,1248,19,0.478939491575609,2.80261570482307,2.48187682841038
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,1,1,5156,19,0.352203513073751,2.50812434894,2.30686386024918
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,2,1,5187,19,0.325060795205392,2.46089794126805,2.33653066218999
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,3,1,5154,19,0.395348449561481,2.34703246236952,2.23400493690292
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,4,1,5120,19,0.358736083278683,2.54475693163418,2.26611089578521
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,5,1,5178,19,0.325835339631721,2.63905331805715,2.41418100297478
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,1,2,5148,19,0.34066351369802,2.6950920878322,2.44834143121097
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,2,2,5139,19,0.318614126529225,2.6565768530938,2.43252355932321
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,3,2,5161,19,0.408599252635438,2.56185272159457,2.34907501303412
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,4,2,5102,19,0.37867809581953,2.58760118172083,2.28955077960821
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,5,2,5131,19,0.364478251153412,2.68364773062745,2.40083115186234
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,1,3,5111,19,0.293327038528073,2.6432371407615,2.34746502300866
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,2,3,5172,19,0.360262983158857,2.60796787145284,2.4257262775945
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,3,3,5149,19,0.377635992017547,2.64359926914147,2.46550186500305
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,4,3,5139,19,0.355797785538085,2.85616483958922,2.43428430160521
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,5,3,5112,19,0.349924818553615,2.60333321674507,2.39607899586872
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,1,4,5147,19,0.333383387675653,2.67822481943726,2.32493784616973
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,2,4,5156,19,0.346991188699269,2.38308455356107,2.25205523872201
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,3,4,5121,19,0.388323160390985,2.52153408953986,2.30278185107619
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,4,4,5186,19,0.334358666806573,2.62313946610941,2.24487239280551
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,5,4,5174,19,0.386813388135608,2.57397701659862,2.3383133841596
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,1,5,5234,19,0.372501966216526,2.65721106381412,2.35098843648611
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,2,5,5142,19,0.360347911194492,2.44831973176011,2.3036983881734
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,3,5,5211,19,0.410546745593934,2.55367983336027,2.34471935501966
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,4,5,5249,19,0.375085081148285,2.61478417526145,2.23554289798859
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,5,5,5201,19,0.357365641909768,2.57337672259663,2.28199712292529
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,1,1,1293,19,0.311779240266113,2.51788827545069,2.30637837406575
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,2,1,1262,19,0.351708374717623,2.38885805584823,2.25830757958656
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,3,1,1295,19,0.413356446866337,2.42231909540012,2.29448636785249
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,4,1,1329,19,0.357937427150212,2.58934686309838,2.27231998243075
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,5,1,1271,19,0.230425313000432,2.61971319312036,2.40052020875835
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,1,2,1301,19,0.308280048897473,2.68879337527524,2.48841340050379
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,2,2,1310,19,0.31758895858181,2.67571491665809,2.46345482420849
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,3,2,1288,19,0.34001497210272,2.53083632044826,2.32930223245182
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,4,2,1347,19,0.295046831434327,2.69696888178172,2.46332625419924
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,5,2,1318,19,0.365955942766738,2.69187973215702,2.38567753198157
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,1,3,1338,19,0.308521387626993,2.7153521644688,2.39874328093211
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,2,3,1277,19,0.304935033071922,2.56653156201602,2.34445439972434
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,3,3,1300,19,0.372948330406376,2.52837069385866,2.36356312835327
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,4,3,1310,19,0.391380584824766,2.84038318581194,2.35933886313397
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,5,3,1337,19,0.306162423834573,2.56143905149807,2.33199866505057
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,1,4,1302,19,0.30178411350035,2.72457197608937,2.32911026082738
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,2,4,1293,19,0.222834492234302,2.46845286963197,2.35636976231797
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,3,4,1328,19,0.393094009059983,2.62256506884215,2.36737580722914
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,4,4,1263,19,0.30036285347125,2.70236577385296,2.34174551762708
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,5,4,1275,19,0.349089195226953,2.63899737058648,2.38792434884035
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,1,5,1215,19,0.2766470545685,2.66238953078553,2.36725373060354
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,2,5,1307,19,0.327658385229455,2.57774289929623,2.45063189033242
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,3,5,1238,19,0.339759902629023,2.63333083350216,2.43546799648562
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,4,5,1200,19,0.280924221786774,2.53348188732091,2.18910693989086
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,5,5,1248,19,0.404519604120069,2.63568450165331,2.39589952825517
TNP,VI-only,DAP,TNP VI,CV0,1,1,5156,19,0.244559835057059,2.72314317340565,2.44276299577926
TNP,VI-only,DAP,TNP VI,CV0,2,1,5187,19,0.274543307015017,2.92601075121854,2.60711889144306
TNP,VI-only,DAP,TNP VI,CV0,3,1,5154,19,0.201519256647793,2.46427133685145,2.28263160194366
TNP,VI-only,DAP,TNP VI,CV0,4,1,5120,19,0.22380206348237,2.72054150475589,2.45358497390612
TNP,VI-only,DAP,TNP VI,CV0,5,1,5178,19,0.259381638729818,2.66837063374556,2.39872210521786
TNP,VI-only,DAP,TNP VI,CV0,1,2,5148,19,0.219597572853905,2.77386245132541,2.46769696764856
TNP,VI-only,DAP,TNP VI,CV0,2,2,5139,19,0.231221452005253,2.77496636155011,2.54484692831889
TNP,VI-only,DAP,TNP VI,CV0,3,2,5161,19,0.218824826184317,2.42277917497795,2.2878491664029
TNP,VI-only,DAP,TNP VI,CV0,4,2,5102,19,0.251862451030885,2.7195878916058,2.37838504416549
TNP,VI-only,DAP,TNP VI,CV0,5,2,5131,19,0.256862743855699,2.58696436469865,2.33501917287544
TNP,VI-only,DAP,TNP VI,CV0,1,3,5111,19,0.239990464007794,2.64214570414132,2.40748600924949
TNP,VI-only,DAP,TNP VI,CV0,2,3,5172,19,0.269642995080921,2.86411116476482,2.58575849865261
TNP,VI-only,DAP,TNP VI,CV0,3,3,5149,19,0.172533939951968,2.54345743582165,2.40007730593505
TNP,VI-only,DAP,TNP VI,CV0,4,3,5139,19,0.20351921204248,2.94515314066282,2.55311032409245
TNP,VI-only,DAP,TNP VI,CV0,5,3,5112,19,0.257440457025591,2.85621837875419,2.64809761336342
TNP,VI-only,DAP,TNP VI,CV0,1,4,5147,19,0.227392353460908,2.78861186782139,2.50991899451117
TNP,VI-only,DAP,TNP VI,CV0,2,4,5156,19,0.271763783599731,3.13713215485715,2.63377040948112
TNP,VI-only,DAP,TNP VI,CV0,3,4,5121,19,0.23558407796286,2.58649060875513,2.35022924174666
TNP,VI-only,DAP,TNP VI,CV0,4,4,5186,19,0.243551439318879,2.73703350976147,2.35265787809579
TNP,VI-only,DAP,TNP VI,CV0,5,4,5174,19,0.26121526640505,2.70060451476684,2.3687125439243
TNP,VI-only,DAP,TNP VI,CV0,1,5,5234,19,0.258302647512136,2.74756966096562,2.44400344671595
TNP,VI-only,DAP,TNP VI,CV0,2,5,5142,19,0.294547425698562,2.86012496938804,2.50542387448575
TNP,VI-only,DAP,TNP VI,CV0,3,5,5211,19,0.186077494982228,2.53933789215144,2.32623926871575
TNP,VI-only,DAP,TNP VI,CV0,4,5,5249,19,0.250779917095893,2.67912351374477,2.38495206343857
TNP,VI-only,DAP,TNP VI,CV0,5,5,5201,19,0.243736339531382,2.65109711545948,2.36147992192142
TNP,VI-only,DAP,TNP VI,CV00,1,1,1293,19,0.223933447655462,2.69335588731305,2.37920378440082
TNP,VI-only,DAP,TNP VI,CV00,2,1,1262,19,0.347123194929721,2.81355184271427,2.50901489344799
TNP,VI-only,DAP,TNP VI,CV00,3,1,1295,19,0.268707689249636,2.53198058467144,2.35465738371594
TNP,VI-only,DAP,TNP VI,CV00,4,1,1329,19,0.240001293653851,2.7433245305391,2.40735913360957
TNP,VI-only,DAP,TNP VI,CV00,5,1,1271,19,0.243988625116071,2.62229286620999,2.34665689883074
TNP,VI-only,DAP,TNP VI,CV00,1,2,1301,19,0.23396175695292,2.70861841513361,2.43350094227077
TNP,VI-only,DAP,TNP VI,CV00,2,2,1310,19,0.23866958060878,2.76804887151571,2.53098248891333
TNP,VI-only,DAP,TNP VI,CV00,3,2,1288,19,0.201145561591097,2.39146768308239,2.22685875149593
TNP,VI-only,DAP,TNP VI,CV00,4,2,1347,19,0.259632565375148,2.76431589485401,2.45927352634977
TNP,VI-only,DAP,TNP VI,CV00,5,2,1318,19,0.197002213649848,2.65239634242757,2.36600358511175
TNP,VI-only,DAP,TNP VI,CV00,1,3,1338,19,0.188578260640183,2.79001278832749,2.53909418213189
TNP,VI-only,DAP,TNP VI,CV00,2,3,1277,19,0.252709896060793,2.83108936586484,2.47044273841917
TNP,VI-only,DAP,TNP VI,CV00,3,3,1300,19,0.215941629365286,2.36755704865476,2.2353927776522
