Method,Model,Time_Domain,Series,CV,Seed,Fold,Environment,N,Correlation,RMSE
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,WIH1.2021,186,0.422077079247119,3.54153003943433
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,WIH1.2021,47,0.209722066890941,3.40612629374009
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,WIH2.2020,520,0.18632952374072,2.86003311997496
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,WIH2.2020,133,0.171325761674803,2.67071625698606
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,WIH2.2021,524,0.372651622356431,3.51931645919733
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,WIH2.2021,131,0.445242558914797,3.25212713844298
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,WIH3.2020,186,0.144984610636163,2.44587939622034
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,WIH3.2020,48,0.25272920135731,2.48819997531331
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,WIH3.2021,186,0.496257116386217,1.53888310046708
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,WIH3.2021,47,0.627865663487274,1.74297259586422
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,DEH1.2020,520,0.708689623618992,1.92755342509411
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,DEH1.2020,135,0.65788146202491,1.81201233638279
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,IAH4.2021,511,0.512482864477574,1.57901540884156
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,IAH4.2021,134,0.534853874005829,1.71022219764178
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,MIH1.2020,185,0.522204555215296,3.23823165235043
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,MIH1.2020,49,0.426274050653683,3.23994581107038
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,MNH1.2020,184,0.471050952273489,2.64468252903632
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,MNH1.2020,47,0.554522297491064,2.59879308364904
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,MNH1.2021,186,0.442602231812857,1.75352914791743
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,MNH1.2021,50,0.339193743711095,2.02342076398989
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,MOH1.2020,454,0.222829055266951,2.23768309667927
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,MOH1.2020,121,0.250850687932614,2.15921281853279
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,NEH1.2021,185,0.352632091013676,2.96210430201858
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,NEH1.2021,48,0.365261323202029,2.91342920813108
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,TXH1.2020,185,0.685791136155155,1.25570292082273
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,TXH1.2020,48,0.69319738248489,1.51026541488339
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,TXH1.2021,185,0.032816758703843,2.93172886146029
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,TXH1.2021,48,0.148976103769316,2.75526521783224
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,TXH2.2020,185,0.501455213862909,1.87269381126406
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,TXH2.2020,48,0.49104921357807,1.83791018438957
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,TXH2.2021,185,0.203601177716023,2.92352411731911
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,TXH2.2021,48,0.353188541123936,2.63951597790251
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,TXH3.2020,186,-0.055653973613549,1.63538315943532
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,TXH3.2020,50,-0.0953534195837765,1.64199020269573
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,TXH3.2021,185,0.407638350562095,4.57444331523016
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,TXH3.2021,48,0.527443654656223,4.34743161768491
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,WIH1.2020,184,0.491681889266907,1.91235051305347
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,WIH1.2020,47,0.500659427833766,1.77067307078586
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,WIH1.2021,185,0.351583760951486,3.52994067591756
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,WIH1.2021,48,0.463324309422995,3.66198631106859
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,WIH2.2020,519,0.164807258839584,2.81200256741285
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,WIH2.2020,134,0.192855095512981,2.92427563116774
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,WIH2.2021,517,0.431404925470089,3.41969996425634
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,WIH2.2021,138,0.346045821901877,3.73939814773556
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,WIH3.2020,185,0.177214234615007,2.41940271296868
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,WIH3.2020,49,0.175982433050523,2.57125845383893
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,WIH3.2021,185,0.555469366916392,1.54456035193711
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,WIH3.2021,48,0.503989231205565,1.6193955269452
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,DEH1.2020,522,0.695369023218,1.94349645326506
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,DEH1.2020,133,0.703557904664078,1.74150209651386
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,IAH4.2021,515,0.52627425760942,1.61056476248979
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,IAH4.2021,130,0.48708463458562,1.62515224508857
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,MIH1.2020,187,0.486916622392618,3.26238228352575
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,MIH1.2020,47,0.640884727251767,3.24780593035839
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,MNH1.2020,184,0.55807635476264,2.55715171064853
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,MNH1.2020,47,0.245025890369081,2.84989403115056
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,MNH1.2021,189,0.354397575557242,1.80505712002437
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,MNH1.2021,47,0.556664143456177,1.77887844056804
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,MOH1.2020,455,0.265505348655721,2.22752447347457
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,MOH1.2020,120,0.184592064780881,2.16832118772664
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,NEH1.2021,186,0.378628304206297,2.9699433587191
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,NEH1.2021,47,0.148778205717137,2.96774318894925
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,TXH1.2020,186,0.666192644654523,1.34587514968159
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,TXH1.2020,47,0.718688308474885,1.2012697645519
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,TXH1.2021,186,0.0179427711558055,2.88446695305712
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,TXH1.2021,47,0.124058418234101,3.09317216884439
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,TXH2.2020,186,0.424303243905837,1.82675405037276
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,TXH2.2020,47,0.624023441431211,2.10001953224683
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,TXH2.2021,186,0.22395643486092,2.90233641457415
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,TXH2.2021,47,0.185327168821492,2.79584853893865
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,TXH3.2020,189,-0.029170901123677,1.64692213381792
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,TXH3.2020,47,-0.227574444364492,1.6394041116518
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,TXH3.2021,186,0.486873244581025,4.50248423675432
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,TXH3.2021,47,0.131275614767434,4.49373482939525
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,WIH1.2020,184,0.490228768271245,1.86668610592367
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,WIH1.2020,47,0.484058301340307,1.94329624522575
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,WIH1.2021,186,0.382486170182996,3.54472974345181
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,WIH1.2021,47,0.366224074759285,3.49787824967235
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,WIH2.2020,523,0.179075178698293,2.83360213966879
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,WIH2.2020,130,0.165424705138892,2.81963518717087
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,WIH2.2021,524,0.435588113101588,3.45234569959013
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,WIH2.2021,131,0.322248553637721,3.60030036265185
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,WIH3.2020,187,0.168072437325657,2.46189159900183
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,WIH3.2020,47,-0.0409668873828575,2.56377446822327
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,WIH3.2021,186,0.541406171303135,1.64802657208232
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,WIH3.2021,47,0.600058218685169,1.22383109110118
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,DEH1.2020,531,0.706374675959012,1.91394164704532
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,DEH1.2020,124,0.687360427099913,1.93722403776496
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,IAH4.2021,521,0.566874134464007,1.56855510384205
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,IAH4.2021,124,0.33638736758749,1.65885483896553
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,MIH1.2020,190,0.532759027314217,3.31475361513774
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,MIH1.2020,44,0.339915350630354,3.1438052315283
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,MNH1.2020,187,0.480748542985167,2.65534293348666
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,MNH1.2020,44,0.463122578591447,2.5919377087216
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,MNH1.2021,192,0.481768584650248,1.77602339300183
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,MNH1.2021,44,0.150861306075881,1.77121077570784
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,MOH1.2020,471,0.29644209052585,2.21619792487997
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,MOH1.2020,104,0.0046558204029831,2.28207293126892
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,NEH1.2021,189,0.380380354053101,2.9059395979051
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,NEH1.2021,44,0.339195892104205,3.08988666333056
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,TXH1.2020,189,0.71978544665839,1.32535024762028
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,TXH1.2020,44,0.623135839037848,1.14831182355753
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,TXH1.2021,189,0.102395487754388,2.84232850038372
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,TXH1.2021,44,-0.162843161616185,3.16754878610283
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,TXH2.2020,189,0.474112015441482,1.92174961601652
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,TXH2.2020,44,0.64833637920789,1.64949890171701
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,TXH2.2021,189,0.302829975740846,2.87505196933399
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,TXH2.2021,44,0.219438343158982,2.76885998801897
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,TXH3.2020,192,-0.0938169601684095,1.68839942194137
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,TXH3.2020,44,0.0819545975090282,1.49827094907335
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,TXH3.2021,189,0.499817575073178,4.48579458348885
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,TXH3.2021,44,0.314601501221962,4.54894225950891
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,WIH1.2020,187,0.504920457885679,1.90845157765013
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,WIH1.2020,44,0.480361395382792,1.7152156305075
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,WIH1.2021,189,0.398346702204736,3.51379335666503
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,WIH1.2021,44,0.343411979000551,3.51732348037885
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,WIH2.2020,529,0.1908280693401,2.85863213649083
